Devices,,,,
1000,,,,
,,1412755 - Force,,
Frame,Sub Frame,Fx,Fy,Fz
,,N,N,N
1,0,-1.2942,-4.67874,-592.753
1,1,-1.273,-4.69316,-592.521
1,2,-1.26051,-4.69875,-592.259
1,3,-1.25486,-4.69221,-591.984
2,0,-1.25269,-4.67528,-591.752
2,1,-1.25745,-4.65156,-591.634
2,2,-1.27247,-4.62495,-591.643
2,3,-1.2926,-4.59865,-591.709
3,0,-1.31258,-4.5731,-591.743
3,1,-1.33423,-4.54835,-591.686
3,2,-1.3576,-4.52589,-591.552
3,3,-1.37695,-4.50402,-591.397
4,0,-1.38813,-4.47664,-591.268
4,1,-1.38752,-4.43894,-591.176
4,2,-1.37149,-4.39103,-591.093
4,3,-1.34673,-4.33791,-590.98
5,0,-1.32841,-4.28991,-590.82
5,1,-1.32448,-4.2612,-590.623
5,2,-1.32843,-4.26083,-590.419
5,3,-1.32741,-4.2836,-590.25
6,0,-1.31574,-4.31117,-590.143
6,1,-1.29999,-4.32162,-590.083
6,2,-1.29079,-4.30189,-590.053
6,3,-1.29086,-4.25723,-590.051
7,0,-1.29335,-4.2069,-590.067
7,1,-1.29334,-4.16702,-590.08
7,2,-1.29416,-4.13946,-590.081
7,3,-1.30058,-4.11666,-590.091
8,0,-1.31231,-4.09062,-590.114
8,1,-1.32315,-4.05864,-590.089
8,2,-1.32535,-4.02461,-589.951
8,3,-1.31679,-3.99169,-589.708
9,0,-1.30114,-3.95679,-589.433
9,1,-1.28009,-3.9157,-589.197
9,2,-1.25223,-3.86819,-589.032
9,3,-1.22359,-3.81796,-588.905
10,0,-1.20786,-3.77118,-588.721
10,1,-1.21152,-3.73323,-588.423
10,2,-1.22667,-3.70653,-588.073
10,3,-1.23698,-3.69255,-587.797
11,0,-1.2302,-3.69061,-587.672
11,1,-1.20889,-3.69204,-587.68
11,2,-1.18718,-3.68258,-587.743
11,3,-1.17661,-3.65503,-587.788
12,0,-1.17624,-3.61679,-587.789
12,1,-1.17764,-3.5815,-587.748
12,2,-1.17705,-3.55672,-587.668
12,3,-1.17634,-3.54282,-587.555
13,0,-1.17618,-3.53751,-587.433
13,1,-1.17501,-3.53756,-587.338
13,2,-1.17138,-3.5374,-587.295
13,3,-1.16387,-3.52977,-587.321
14,0,-1.14894,-3.5128,-587.425
14,1,-1.12482,-3.49191,-587.601
14,2,-1.10055,-3.46913,-587.817
14,3,-1.09131,-3.43842,-588.039
15,0,-1.10319,-3.39723,-588.246
15,1,-1.12987,-3.35138,-588.421
15,2,-1.15921,-3.30679,-588.55
15,3,-1.17971,-3.26843,-588.64
16,0,-1.18538,-3.24366,-588.732
16,1,-1.17707,-3.23732,-588.862
16,2,-1.16161,-3.24506,-589.015
16,3,-1.14917,-3.25395,-589.156
17,0,-1.14679,-3.24974,-589.27
17,1,-1.15175,-3.22312,-589.366
17,2,-1.15122,-3.17284,-589.443
17,3,-1.1312,-3.10777,-589.513
18,0,-1.08972,-3.04352,-589.616
18,1,-1.03799,-2.99369,-589.795
18,2,-0.989698,-2.96282,-590.034
18,3,-0.956055,-2.94515,-590.278
19,0,-0.947591,-2.92993,-590.508
19,1,-0.97143,-2.90931,-590.737
19,2,-1.02645,-2.88503,-590.976
19,3,-1.10231,-2.8672,-591.232
20,0,-1.181,-2.86277,-591.508
20,1,-1.24013,-2.86612,-591.77
20,2,-1.26279,-2.86518,-591.956
20,3,-1.25016,-2.85419,-592.026
21,0,-1.21922,-2.83744,-591.995
21,1,-1.18773,-2.82446,-591.914
21,2,-1.16296,-2.82372,-591.842
21,3,-1.13843,-2.83893,-591.824
22,0,-1.10343,-2.8686,-591.866
22,1,-1.05762,-2.90725,-591.94
22,2,-1.01121,-2.94732,-592.024
22,3,-0.974197,-2.98319,-592.121
23,0,-0.949492,-3.01611,-592.258
23,1,-0.934359,-3.05025,-592.462
23,2,-0.925154,-3.0807,-592.714
23,3,-0.919195,-3.09516,-592.955
24,0,-0.913968,-3.09321,-593.125
24,1,-0.90861,-3.09286,-593.203
24,2,-0.905764,-3.11173,-593.231
24,3,-0.908787,-3.15175,-593.274
25,0,-0.916697,-3.20579,-593.369
25,1,-0.921768,-3.26887,-593.518
25,2,-0.913633,-3.33823,-593.686
25,3,-0.88762,-3.41001,-593.834
26,0,-0.846801,-3.48154,-593.974
26,1,-0.797278,-3.5534,-594.153
26,2,-0.746238,-3.62717,-594.386
26,3,-0.705143,-3.70246,-594.636
27,0,-0.687997,-3.77552,-594.842
27,1,-0.697375,-3.8407,-594.975
27,2,-0.718218,-3.89317,-595.062
27,3,-0.733923,-3.93136,-595.164
28,0,-0.740343,-3.9583,-595.322
28,1,-0.740576,-3.9793,-595.522
28,2,-0.736129,-3.9992,-595.706
28,3,-0.72828,-4.02228,-595.811
29,0,-0.721152,-4.05165,-595.824
29,1,-0.71615,-4.0903,-595.793
29,2,-0.708055,-4.14445,-595.781
29,3,-0.692038,-4.22049,-595.801
30,0,-0.668988,-4.31625,-595.821
30,1,-0.644732,-4.42031,-595.814
30,2,-0.629821,-4.51996,-595.794
30,3,-0.633866,-4.60686,-595.811
31,0,-0.658111,-4.67749,-595.888
31,1,-0.695713,-4.73436,-596.011
31,2,-0.7338,-4.78669,-596.148
31,3,-0.759203,-4.84404,-596.287
32,0,-0.768933,-4.90618,-596.424
32,1,-0.769742,-4.96165,-596.532
32,2,-0.767516,-5.00058,-596.561
32,3,-0.765532,-5.02674,-596.508
33,0,-0.769809,-5.05461,-596.442
33,1,-0.785649,-5.09783,-596.419
33,2,-0.811616,-5.15879,-596.426
33,3,-0.843024,-5.22765,-596.436
34,0,-0.876138,-5.2913,-596.48
34,1,-0.908058,-5.33937,-596.618
34,2,-0.937544,-5.36838,-596.861
34,3,-0.965032,-5.38677,-597.182
35,0,-0.990085,-5.41049,-597.565
35,1,-1.00861,-5.4498,-598.003
35,2,-1.01386,-5.50293,-598.447
35,3,-1.00217,-5.56193,-598.805
36,0,-0.976423,-5.62011,-599.033
36,1,-0.945304,-5.67488,-599.167
36,2,-0.920627,-5.72615,-599.263
36,3,-0.910807,-5.77301,-599.335
37,0,-0.916989,-5.81491,-599.371
37,1,-0.93772,-5.85457,-599.379
37,2,-0.96931,-5.89503,-599.398
37,3,-1.00407,-5.93645,-599.49
38,0,-1.03732,-5.97802,-599.683
38,1,-1.06998,-6.01809,-599.95
38,2,-1.10324,-6.0532,-600.229
38,3,-1.1377,-6.0835,-600.476
39,0,-1.17501,-6.11449,-600.676
39,1,-1.21456,-6.14846,-600.817
39,2,-1.24921,-6.18059,-600.878
39,3,-1.26712,-6.20668,-600.863
40,0,-1.26271,-6.22929,-600.822
40,1,-1.2463,-6.25478,-600.832
40,2,-1.23586,-6.28743,-600.951
40,3,-1.24145,-6.32822,-601.191
41,0,-1.26399,-6.37536,-601.514
41,1,-1.30056,-6.42374,-601.852
41,2,-1.34487,-6.46727,-602.137
41,3,-1.38952,-6.50213,-602.332
42,0,-1.42835,-6.52795,-602.449
42,1,-1.4564,-6.54894,-602.536
42,2,-1.47323,-6.57192,-602.636
42,3,-1.48264,-6.60051,-602.748
43,0,-1.48698,-6.63324,-602.859
43,1,-1.48755,-6.66616,-602.945
43,2,-1.48698,-6.6945,-602.959
43,3,-1.48625,-6.71285,-602.866
44,0,-1.4841,-6.71664,-602.706
44,1,-1.47964,-6.70808,-602.546
44,2,-1.4715,-6.70063,-602.402
44,3,-1.45894,-6.70808,-602.246
45,0,-1.44901,-6.73062,-602.075
45,1,-1.45598,-6.7592,-601.923
45,2,-1.48646,-6.78493,-601.831
45,3,-1.53175,-6.80059,-601.813
46,0,-1.57723,-6.80337,-601.843
46,1,-1.61001,-6.79719,-601.877
46,2,-1.62133,-6.78752,-601.884
46,3,-1.61182,-6.77361,-601.848
47,0,-1.59153,-6.75001,-601.762
47,1,-1.57081,-6.71651,-601.629
47,2,-1.55224,-6.68184,-601.483
47,3,-1.5305,-6.65778,-601.365
48,0,-1.49829,-6.64874,-601.281
48,1,-1.4551,-6.64706,-601.205
48,2,-1.41288,-6.64269,-601.097
48,3,-1.38656,-6.6314,-600.937
49,0,-1.37995,-6.60997,-600.759
49,1,-1.38786,-6.57406,-600.641
49,2,-1.40354,-6.52385,-600.621
